ARTICLE_TITLE,AUTHOR,SECTION,NUMBER_OF_WORDS_IN_TITLE,PUBLICATION,URL,KEYWORDS
"DealBook Briefing: G.M.’s Cuts Spell Trouble for the Economy",None,Business,9,New York Times,https://www.nytimes.com/2018/11/27/business/dealbook/gm-cuts-economy.html,Automobiles;Economic Conditions and Trends;General Motors;Trump, Donald J;
"DealBook Briefing: A Trade Truce With China? It’s Anyone’s Guess",None,Business,10,New York Times,https://www.nytimes.com/2018/11/28/business/dealbook/trump-trade-truce-china.html,International Trade and World Market;United States Politics and Government;Trump, Donald J;Xi Jinping;
"Where the STEM Jobs Are (and Where They Aren’t)",By STEVE LOHR,EdLife,9,New York Times,https://www.nytimes.com/2017/11/01/education/edlife/stem-jobs-industry-careers.html,Computers and the Internet;Colleges and Universities;Careers and Professions;Glassdoor Inc;
"Russian Cyberforgers Steal Millions a Day With Fake Sites",By VINDU GOEL,Business,9,New York Times,https://www.nytimes.com/2016/12/20/technology/forgers-use-fake-web-users-to-steal-real-ad-revenue.html,Online Advertising;News and News Media;Frauds and Swindling;Russia;Computer Security;Video Recordings, Downloads and Streaming;White Ops;Advertising and Marketing;Computers and the Internet;
"Berlin, Russia, Tupac Shakur: Your Tuesday Evening Briefing",By KAREN ZRAICK and SANDRA STEVENSON,NYTNow,8,New York Times,https://www.nytimes.com/2016/12/20/briefing/berlin-russia-tupac-shakur.html,United States Politics and Government;Santa Claus;Terrorism;
"Tallying Wells Fargo’s Penalties: DealBook Briefing",None,Business,6,New York Times,https://www.nytimes.com/2018/02/02/business/dealbook/cbs-viacom-merger.html,CBS Corporation;Viacom Inc;Redstone, Shari;Media;Mergers, Acquisitions and Divestitures;Television;
"Advertising’s Moral Struggle: Is Online Reach Worth the Hurt?",By SAPNA MAHESHWARI,Business,9,New York Times,https://www.nytimes.com/2016/12/26/business/media/advertising-online-ads-fake-news-google.html,Online Advertising;Facebook Inc;News and News Media;Rumors and Misinformation;Advertising and Marketing;Frauds and Swindling;
"Yes, the News Can Survive the Newspaper",By JIM RUTENBERG,Business,7,New York Times,https://www.nytimes.com/2016/09/05/business/yes-the-news-can-survive-the-newspaper.html,News Media Alliance;Newspaper Assn of America;Newspapers;Oliver, John;tronc Inc;Spotlight (Movie);Sullivan, Margaret M;Names, Organizational;Chavern, David;News and News Media;
"Daily Clip Report",By JORDAN COHEN,blogpost,3,New York Times,https://www.nytimes.com/times-insider/2015/02/09/daily-clip-report-119/,
"With Technology, Avoiding Both Ads and the Blockers",By SYDNEY EMBER,Business,8,New York Times,https://www.nytimes.com/2015/09/02/business/with-technology-avoiding-both-ads-and-the-blockers.html,Allrecipes.com;Computers and the Internet;Advertising and Marketing;Campbell Soup Company;Marchese, Joe;Online Advertising;Silicon Valley (Calif);Pavlovsky, Stanley (1971- );
"Guardian, News UK and Telegraph launch joint advertising business",Jim Waterson Media editor,News,9,The Guardian,https://www.theguardian.com/media/2018/jun/20/guardian-news-uk-telegraph-launch-advertising-business-ozone-project,Advertising;Newspapers;Guardian Media Group;News UK;Telegraph Media Group;Newspapers & magazines;National newspapers;Media business;Media;Digital media;UK news;
"The Guardian Changing Media Summit – taking on fake news, ad fraud and filter bubbles",David Benady,News,15,The Guardian,https://www.theguardian.com/media/2017/mar/20/the-guardian-changing-media-summit-taking-on-fake-news-ad-and-filter-bubbles,Changing Media Summit;Breitbart;
"Millions of Pornhub users targeted in malvertising attack",Alex Hern,News,8,The Guardian,https://www.theguardian.com/technology/2017/oct/10/pornhub-adult-site-users-targeted-malvertising-attack-malware-kovcoregs-kovter,Malware;Hacking;Data and computer security;Technology;Advertising;Media;Pornography;Culture;
"Facebook has a fake news 'war room' – but is it really working?",Sam Levin in Menlo Park,News,13,The Guardian,https://www.theguardian.com/technology/2018/oct/18/facebook-war-room-social-media-fake-news-politics,Facebook;Social media;Social networking;Digital media;Technology;Media;
"Death of magazines 'overplayed' as titles bid to fight Facebook effect",Mark Sweney,News,11,The Guardian,https://www.theguardian.com/media/2017/dec/25/death-magazines-overplayed-titles-fight-back-facebook,Magazines;Media;Newspapers & magazines;UK news;Facebook;
"What is the Changing Media Summit?",Adam Davidi,News,6,The Guardian,https://www.theguardian.com/media/2016/oct/17/what-is-the-changing-media-summit,Changing Media Summit;
"Australian advertising industry holds talks to protect brands against extremist content",Amanda Meade,News,11,The Guardian,https://www.theguardian.com/australia-news/2017/mar/21/australian-advertising-industry-holds-talks-to-protect-brands-against-extremist-content,Business (Australia);Australian media;Australia news;Google;YouTube;Media;Technology;The Guardian;Facebook;World news;Advertising;
"Bad news for online advertisers – you’ve been ’ad",John Naughton,Opinion,9,The Guardian,https://www.theguardian.com/commentisfree/2017/mar/05/online-advertising-social-media-facebook-google-youve-been-ad,Advertising;Internet;Technology;Facebook;Social networking;Google;Big data;Digital media;UK news;
"Johnny Hornby: adland is failing to defeat digital fraud",Johnny Hornby,News,9,The Guardian,https://www.theguardian.com/media-network/2016/jan/13/johnny-hornby-online-digital-ad-fraud-advertising,Media & Tech Network;Advertising;Media;Technology;Digital media;Regulators;
"Changing Media Summit 2017 programme",Adam Davidi,News,5,The Guardian,https://www.theguardian.com/media/2016/oct/17/changing-media-summit-2017-programme,Changing Media Summit;
